name,cat,note,SHARP_acum,SHARP_exc,PROM_db,PROM_hz,peak_motion,REL_db,HF8K_pct,PAIN_pct,K_db,SHARP_noRes,PAIN_noRes_pct,RESLIFT_db,PROM_noRes_db,win_ms,flags,err
8BIT SUNSET,LEAD,C2,1.64,0.45,-6.19,1338.2,n/a,-28.99,0.017,0.351,49.17,1.641,0.358,-0.09,-6.17,1890.0,,
8BIT SUNSET,LEAD,C3,1.832,0.483,-5.45,1812.2,n/a,-23.41,0.049,0.899,48.79,1.833,0.918,-0.09,-5.43,1900.0,,
8BIT SUNSET,LEAD,C4,1.974,0.482,-6.09,1812.2,n/a,-22.81,0.059,0.984,51.69,1.975,1.004,-0.09,-6.07,1890.0,,
8BIT SUNSET,LEAD,C5,2.103,0.022,0.0,1838.6,n/a,-13.26,0.128,2.06,51.57,2.105,2.102,-0.09,0.0,1890.0,,
8BIT SUNSET,LEAD,C6,2.281,-0.119,0.0,3677.2,n/a,-18.04,0.304,3.798,51.59,2.282,3.878,-0.09,0.0,1900.0,,
ABYSS PILLAR,BASS,C1,0.33,-0.373,-99.0,0.0,n/a,-99.0,0.0,0.0,36.48,0.329,0.0,0.0,-99.0,1890.0,,
ABYSS PILLAR,BASS,C2,0.375,-0.815,-99.0,0.0,n/a,-99.0,0.0,0.0,42.87,0.376,0.0,0.0,-99.0,1900.0,,
ABYSS PILLAR,BASS,C3,0.422,-0.927,-99.0,0.0,n/a,-99.0,0.0,0.0,46.99,0.423,0.0,0.0,-99.0,1890.0,,
ABYSS PILLAR,BASS,C4,0.553,-0.939,-99.0,0.0,n/a,-99.0,0.0,0.0,48.24,0.554,0.0,0.0,-99.0,1900.0,,
ANVIL ANTHEM,LEAD,C2,1.585,0.395,-3.1,1209.5,n/a,-14.44,0.025,3.607,45.41,1.589,3.646,-0.05,-3.09,640.0,,
ANVIL ANTHEM,LEAD,C3,1.719,0.37,0.11,1300.1,n/a,-12.89,0.032,4.034,47.78,1.723,4.08,-0.05,0.12,810.0,,
ANVIL ANTHEM,LEAD,C4,1.983,0.491,3.95,2283.3,n/a,-11.16,0.084,14.721,47.65,1.987,14.827,-0.03,3.96,660.0,,
ANVIL ANTHEM,LEAD,C5,2.263,0.181,1.98,4566.6,n/a,-21.5,0.032,9.682,51.79,2.268,9.762,-0.04,2.0,1280.0,,
ANVIL ANTHEM,LEAD,C6,2.714,0.314,-4.92,3182.7,n/a,-4.92,0.234,49.04,52.93,2.72,49.197,-0.01,-4.91,1590.0,,
ASH HAULER,BASS,C1,0.942,0.239,-99.0,0.0,n/a,-99.0,0.0,0.0,42.79,0.967,0.0,0.0,-99.0,360.0,,
ASH HAULER,BASS,C2,0.896,-0.293,-99.0,0.0,n/a,-99.0,0.0,0.0,45.72,0.917,0.0,0.0,-99.0,1900.0,,
ASH HAULER,BASS,C3,0.871,-0.478,-99.0,0.0,n/a,-99.0,0.0,0.0,47.71,0.89,0.0,0.0,-99.0,1890.0,,
ASH HAULER,BASS,C4,0.921,-0.571,-99.0,0.0,n/a,-99.0,0.0,0.0,48.12,0.947,0.0,0.0,-99.0,1900.0,,
ATTIC UPRIGHT,KEYS,C2,1.189,-0.0,-99.0,0.0,n/a,-99.0,0.002,0.004,47.87,1.188,0.004,0.0,-99.0,1890.0,,
ATTIC UPRIGHT,KEYS,C3,1.486,0.137,-99.0,0.0,n/a,-99.0,0.007,0.013,49.24,1.486,0.013,0.0,-99.0,1890.0,,
ATTIC UPRIGHT,KEYS,C4,1.854,0.362,-12.54,1209.5,n/a,-26.37,0.024,0.045,49.36,1.854,0.045,0.0,-12.5,1890.0,,
ATTIC UPRIGHT,KEYS,C5,2.274,0.192,0.0,1838.6,n/a,-17.95,0.08,0.236,49.0,2.275,0.239,-0.05,0.0,1890.0,,
ATTIC UPRIGHT,KEYS,C6,2.739,0.339,0.14,3677.2,n/a,-23.66,0.277,1.136,48.69,2.738,1.156,-0.08,0.02,1890.0,,
AUREOLE,PAD,C2,1.312,0.123,-2.13,1686.0,n/a,-26.01,0.0,0.921,49.99,1.315,0.947,-0.12,-2.09,880.0,,
AUREOLE,PAD,C3,1.444,0.095,-1.83,1357.6,n/a,-7.86,0.001,3.403,47.88,1.447,3.491,-0.11,-1.8,650.0,,
AUREOLE,PAD,C4,1.73,0.238,2.7,1377.4,n/a,-1.33,0.003,12.494,46.18,1.733,12.753,-0.09,2.72,1260.0,,
AUREOLE,PAD,C5,1.861,-0.221,-2.72,1838.6,n/a,-13.39,0.001,8.221,52.89,1.864,8.397,-0.09,-2.66,630.0,,
AUREOLE,PAD,C6,2.07,-0.33,-0.01,3677.2,n/a,-20.03,0.001,3.522,56.91,2.073,3.603,-0.1,0.0,1270.0,,
AURORA VEIL,PAD,C2,1.328,0.139,-3.96,1568.6,n/a,-24.41,0.001,1.267,49.99,1.331,1.296,-0.1,-3.94,1430.0,,
AURORA VEIL,PAD,C3,1.619,0.27,-2.34,1357.6,n/a,-9.89,0.012,11.389,46.05,1.622,11.562,-0.07,-2.33,880.0,,
AURORA VEIL,PAD,C4,1.829,0.337,-5.1,1377.4,n/a,-13.26,0.017,5.698,51.68,1.833,5.772,-0.06,-5.1,740.0,,
AURORA VEIL,PAD,C5,2.237,0.155,-2.62,1838.6,n/a,-15.49,0.038,7.005,55.45,2.243,7.064,-0.04,-2.61,1310.0,,
AURORA VEIL,PAD,C6,2.801,0.401,-5.8,5430.6,n/a,-23.74,0.221,18.253,57.08,2.807,18.325,-0.02,-5.75,1610.0,,
BLIP BROOK,CHIP,C2,1.52,0.331,-0.54,1661.8,n/a,-20.91,0.009,1.343,23.89,1.523,1.358,-0.05,-0.53,150.0,,
